"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat","paleomodel","paleolng","paleolat","geoplate"
"787340","occ","21120","","48652","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","28550","","","10.861111","43.401390","gp_mid","11.38","42.69","307"
"787341","occ","21140","","48652","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","28550","","","10.861111","43.401390","gp_mid","11.38","42.69","307"
"787342","occ","","","85022","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Zanclean","","5.333","3.6","15407","","","8.090833","44.905556","gp_mid","8.86","43.99","307"
"787343","occ","","","76977","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","15407","","","15.661389","38.110558","gp_mid","16.17","37.10","307"
"787344","occ","","","71101","Tursiops cortesii","species","63826","recombined as","Hemisyntrachelus cortesii","species","64535","Piacenzian","","3.6","2.588","15407","","","11.500000","43.349998","gp_mid","12.01","42.63","307"
"787347","occ","","","85023","Schizodelphis n. sp. compressus","species","69735","","Schizodelphis compressus","species","69735","Late Miocene","","11.608","5.333","13952","","","8.080833","44.724998","gp_mid","9.57","42.88","307"
"787555","occ","","","57780","Delphinus n. sp. planus","species","72079","recombined as","Schizodelphis planus","species","72079","Burdigalian","","20.44","15.97","12784","","","4.882222","44.396667","gp_mid","7.30","41.15","305"
"787578","occ","","","57785","Eurhinodelphis n. sp. morrisi","species","69884","subjective synonym of","Xiphiacetus bossi","species","66353","Langhian","","15.97","13.82","15550","","","-76.940277","38.207222","gp_mid","-69.88","39.90","109"
"787579","occ","","","45506","Eurhinodelphis n. sp. vaughni","species","69881","subjective synonym of","Xiphiacetus bossi","species","66353","Langhian","","15.97","13.82","15550","","","-76.516388","38.530834","gp_mid","-69.41","40.19","109"
"787584","occ","","","47465","Priscodelphinus n. sp. cristatus","species","64644","recombined as","Xiphiacetus cristatus","species","64644","Late Miocene","Late Pliocene","11.608","2.588","12768","","","4.433333","51.213333","gp_mid","5.56","50.03","315"
"787585","occ","","","45508","Eurhinodelphis n. sp. ashbyi","species","69882","subjective synonym of","Xiphiacetus cristatus","species","64644","Langhian","","15.97","13.82","15550","1","specimens","-76.847778","38.166389","gp_mid","-69.79","39.86","109"
"787586","occ","","","45506","Eurhinodelphis n. sp. whitmorei","species","69883","subjective synonym of","Xiphiacetus cristatus","species","64644","Langhian","","15.97","13.82","15550","1","specimens","-76.516388","38.530834","gp_mid","-69.41","40.19","109"
"787587","occ","","","57780","Hoplocetus n. sp. crassidens","species","64696","","Hoplocetus crassidens","species","64696","Burdigalian","","20.44","15.97","24709","1","specimens","4.882222","44.396667","gp_mid","7.30","41.15","305"
"787588","occ","","","81668","Hoplocetus crassidens","species","64696","","Hoplocetus crassidens","species","64696","Langhian","","15.97","13.82","24709","","","14.266389","36.049442","gp_mid","","",""
"787593","occ","","","56693","Hoplocetus n. sp. curvidens","species","69223","","Hoplocetus curvidens","species","69223","Pliocene","","5.333","2.588","28567","","","3.879167","43.608612","gp_mid","4.40","42.94","305"
"787594","occ","","","79950","Hoplocetus n. sp. obesus","species","69138","nomen dubium","Hoplocetus","genus","36728","Pleistocene","","2.588","0.0117","11886","1","specimens","-79.959442","32.779446","gp_mid","-79.56","32.94","109"
"787639","occ","","","85069","Physodon n. sp. lorteti","species","69792","subjective synonym of","Scaldicetus grandis","species","64626","Miocene","","23.03","5.333","18970","","","4.939722","45.015278","gp_mid","6.86","42.53","305"
"787640","occ","","","85022","Hoplocetus n. sp. minor","species","69616","recombined as","Scaldicetus minor","species","69616","Zanclean","","5.333","3.6","13952","","","8.090833","44.905556","gp_mid","8.86","43.99","307"
"787651","occ","","","47425","Delphinus n. sp. baltringii","species","71779","nomen dubium","Odontoceti","suborder","42937","Burdigalian","","20.44","15.97","12324","","","9.881944","48.095554","gp_mid","12.24","44.69","305"
"787652","occ","","","75264","Delphinus n. sp. delannoy","species","100473","nomen dubium","Odontoceti","suborder","42937","Serravallian","","13.82","11.62","24302","","","6.648056","52.101944","gp_mid","8.74","49.75","315"
