Cynthiacetus,maxwelli
Cynthiacetus,maxwelli
Cynthiacetus,maxwelli
Cynthiacetus,maxwelli
Cynthiacetus,maxwelli
Tokarahia,lophocephalus
Tohoraata,waitakiensis
Piscocetus,sacaco
Piscobalaena,nana
Cynthiacetus,peruvianus
Zygophyseter,varolai
Ziphius,cavirostris
Eoplatanista,taurinensis
Tursiops,truncatus
Schizodelphis,sulcatus
Saghacetus,osiris
Basilosaurus,isis
Pachyacanthus,suessii
Pachyacanthus,suessii
Caviziphius,altirostris
Globicephalus,karsteni
Dalpiazina,ombonii
Medocinia,tetragorhina
Protororqualus,cuvieri
Squalodon,antverpiensis
Eubalaena,belgica
Ziphirostrum,marginatum
Schizodelphis,morckhoviensis
Xiphiacetus,cristatus
Isocetus,depauwi
Placoziphius,duboisii
Eudelphis,mortezelensis
Cetorhynchus,atavus
Choneziphius,planirostris
Herpetocetus,scaldiensis
Amphicetus,later
Plesiocetopsis,hupschii
Eurhinodelphis,cocheteuxi
Eurhinodelphis,longirostris
Plesiocetopsis,hupschii
Mesocetus,longirostris
Scaldicetus,caretti
Scaldicetus,caretti
Choneziphius,planirostris
Eurhinodelphis,longirostris
Heterocetus,brevifrons
Balaenula,balaenopsis
Balaenotus,insignis
Herpetocetus,scaldiensis
Plesiocetopsis,hupschii
Balaenula,balaenopsis
Hoplocetus,borgerhoutensis
Tursiops,capellinii
Ischyrorhynchus,vanbenedeni
Pontoporia,blainvillii
Pontoporia,blainvillii
Inia,geoffrensis
Lipotes,vexillifer
Neophocaena,phocaenoides
Orcaella,brevirostris
Platanista,gangetica
Steno,bredanensis
Stenella,longirostris
Sotalia,fluviatilis
Mesoplodon,peruvianus
Mesoplodon,ginkgodens
Mesoplodon,densirostris
Mesoplodon,densirostris
Archaeodelphis,patrius
Delphinus,delphis
Mesocetus,hungaricus
Schizodelphis,sulcatus
Pomatodelphis,inaequalis
Squalodon,calvertensis
Arktocara,yakataga
Messapicetus,longirostris
Kentriodon,fuchsii
Delphinodon,carniolicus
Orycterocetus,crocodilinus
Diorocetus,hiatus
Squalodon,atlanticus
Squalodon,protervus
Zarhachis,flagellator
Zarhachis,tysonii
Cetotherium,parvum
Balaena,mysticetus
Zarhachis,velox
Kentriodon,fuchsii
Xiphiacetus,bossi
Pelocetus,calvertensis
Xiphiacetus,cristatus
Xiphiacetus,bossi
Mesocetus,siphunculus
Mesocetus,siphunculus
Parietobalaena,palmeri
Kentriodon,pernix
Orycterocetus,crocodilinus
Orycterocetus,crocodilinus
Orycterocetus,crocodilinus
Parietobalaena,palmeri
Mesocetus,siphunculus
Xiphiacetus,bossi
Xiphiacetus,bossi
Mesocetus,siphunculus
Kentriodon,pernix
Hadrodelphis,calvertense
Eurhinodelphis,longirostris
Orycterocetus,crocodilinus
Schizodelphis,barnesi
Squalodon,calvertensis
Schizodelphis,barnesi
Kentriodon,pernix
Eurhinodelphis,longirostris
Xiphiacetus,bossi
Eurhinodelphis,longirostris
Zarhachis,crassangulum
Parietobalaena,palmeri
Zarhachis,flagellator
Xiphiacetus,bossi
Xiphiacetus,bossi
Xiphiacetus,bossi
Kentriodon,pernix
Parietobalaena,palmeri
Thinocetus,arthritus
Diorocetus,hiatus
Parietobalaena,palmeri
Aglaocetus,patulus
Aglaocetus,patulus
Parietobalaena,palmeri
Caperea,marginata
Caperea,marginata
Caperea,marginata
Caperea,marginata
Caperea,marginata
Caperea,marginata
Caperea,marginata
Pachyodon,mirabilis
Phoberodon,arctirostris
Kentriodon,fuchsii
Kentriodon,fuchsii
Kentriodon,fuchsii
Kentriodon,fuchsii
Squalodon,protervus
Eschrichtius,robustus
Delphinapterus,leucas
Delphinapterus,leucas
Balaenoptera,acutorostrata
Monodon,monoceros
Globicephala,macrorhynchus
Balaena,mysticetus
Balaena,mysticetus
Balaena,mysticetus
Monodon,monoceros
Balaena,mysticetus
Balaena,mysticetus
Balaena,mysticetus
Balaena,mysticetus
Tursiops,truncatus
Balaenoptera,physalus
Balaena,mysticetus
Eschrichtius,robustus
Eubalaena,shinshuensis
Balaenoptera,omurai
Balaenoptera,acutorostrata
Basilosaurus,isis
Dorudon,atrox
Dorudon,atrox
Mauicetus,parki
Scaldicetus,caretti
Scaldicetus,grandis
Scaldicetus,grandis
Scaldicetus,grandis
Archaebalaenoptera,castriarquati
Pseudorca,crassidens
Tursiops,truncatus
Scaldicetus,grandis
Physeterula,dubusi
Phocaenopsis,scheynensis
Eurhinodelphis,cocheteuxi
Eurhinodelphis,longirostris
Eurhinodelphis,longirostris
Xiphiacetus,cristatus
Ziphirostrum,marginatum
Parietobalaena,affinis
Herpetocetus,scaldiensis
Plesiocetopsis,hupschii
Parietobalaena,affinis
Heterocetus,brevifrons
Heterocetus,brevifrons
Aglaocetus,latifrons
Aglaocetus,longifrons
Mesocetus,longirostris
Parietobalaena,laxata
Balaenula,balaenopsis
Kutchicetus,minimus
Basilosaurus,cetoides
Neophocaena,phocaenoides
Delphinodon,dividum
Salumiphocaena,stocktoni
Squalodon,bellunensis
Balaenoptera,borealis
Balaenoptera,acutorostrata
Eodelphinus,kabatensis
Orcinus,orca
Balaenoptera,borealis
Albicetus,oxymycterus
Albicetus,oxymycterus
Albicetus,oxymycterus
Grampus,griseus
Balaenoptera,borealis
Orca,paleorca
Pseudorca,yokoyamai
Pseudorca,yokoyamai
Stenella,longirostris
Balaenoptera,acutorostrata
Eubalaena,glacialis
Balaena,mysticetus
Balaena,mysticetus
Balaena,mysticetus
Megaptera,novaeangliae
Balaena,mysticetus
Balaena,mysticetus
Kentriodon,hoepfneri
Hoplocetus,ritzi
Squalodon,bellunensis
Basilosaurus,cetoides
Mesoplodon,longirostris
Mesoplodon,longirostris
Mesoplodon,longirostris
Mesoplodon,perrini
Tursiops,brocchii
Microberardius,africanus
Izikoziphius,rossi
Izikoziphius,angustus
Khoikhoicetus,agulhasis
Ihlengesi,saldanhae
Africanacetus,ceratopsis
Mesoplodon,slangkopi
Nenga,meganasalis
Nenga,meganasalis
Xhosacetus,hendeysi
Pterocetus,benguelae
Pterocetus,benguelae
Ihlengesi,saldanhae
Platyosphys,paulsonii
Choneziphius,macrops
Zeuglodon,brachyspondylus
Archaeschrichtius,ruggieroi
Herpetocetus,scaldiensis
Herpetocetus,scaldiensis
Herpetocetus,transatlanticus
Herpetocetus,bramblei
Squalodon,whitmorei
Squalodon,calvertensis
Phocageneus,venustus
Araeodelphis,natator
Kentriodon,schneideri
Delphinodon,dividum
Lophocetus,pappus
Ninoziphius,platyrostris
Mesoplodon,longirostris
Ziphius,cavirostris
Lagenorhynchus,harmatuki
