"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"486180","occ","","","48656","Neosqualodon gastaldii","species","68324","Serravallian","","13.82","11.62","12984"
"486183","occ","","","48656","Eurhinodelphinidae","family","63595","Serravallian","","13.82","11.62","12984"
"486184","occ","","","48657","Xiphiacetus cristatus","species","64644","Burdigalian","Messinian","20.44","5.333","12986"
"486185","occ","","","48657","Eurhinodelphis","genus","36717","Burdigalian","Messinian","20.44","5.333","12986"
"486186","occ","","","48657","Schizodelphis","genus","36848","Burdigalian","Messinian","20.44","5.333","12986"
"486187","occ","","","48657","Squalodon","genus","36852","Burdigalian","Messinian","20.44","5.333","12986"
"486194","occ","","","48661","Squalodon melitensis","species","68335","Chattian","Langhian","28.1","13.82","12099"
"486195","occ","","","48662","Squalodon bariensis","species","63727","Burdigalian","","20.44","15.97","12988"
"486196","occ","","","47425","Squalodon servatus","species","68339","Burdigalian","","20.44","15.97","13941"
"486197","occ","","","47425","Squalodon molassicus","species","68346","Burdigalian","","20.44","15.97","20407"
"486198","occ","","","48663","Squalodon bariensis","species","63727","Middle Miocene","","15.97","11.608","6031"
"487305","occ","","","18506","Odontoceti","suborder","42937","Miocene","","23.03","5.333","946"
"487306","occ","","","18506","Odontoceti","suborder","42937","Miocene","","23.03","5.333","12124"
"487310","occ","","","45506","Delphinodon dividum","species","68939","Langhian","","15.97","13.82","13044"
"487312","occ","","","48883","Delphinodon dividum","species","68939","Langhian","","15.97","13.82","13046"
"487314","occ","","","48885","Balaenidae","family","42978","Zanclean","","5.333","3.6","13048"
"487316","occ","","","48886","Tursiops","genus","36865","Late Pleistocene","","0.126","0.0117","13049"
"487317","occ","","","48887","Squalodon tiedemani","species","68351","Serravallian","","13.82","11.62","13050"
"488659","occ","","","47425","Scaldicetus grandis","species","64626","Burdigalian","","20.44","15.97","13125"
"488660","occ","","","47425","Physeterula dubusi","species","64464","Burdigalian","","20.44","15.97","13125"
"488661","occ","","","47425","Odontoceti","suborder","42937","Burdigalian","","20.44","15.97","13125"
"488663","occ","","","47425","Squalodelphis fabianii","species","64078","Burdigalian","","20.44","15.97","13125"
"488664","occ","","","47425","Orycterocetus","genus","36788","Burdigalian","","20.44","15.97","13125"
"488666","occ","","","47425","Eurhinodelphinidae","family","63595","Burdigalian","","20.44","15.97","13125"
"488667","occ","","","47425","Schizodelphis","genus","36848","Burdigalian","","20.44","15.97","13125"
"488668","occ","","","47425","Monodontidae","family","42963","Burdigalian","","20.44","15.97","13125"
"488669","occ","","","47425","Delphinidae","family","42953","Burdigalian","","20.44","15.97","13125"
"488675","occ","","","49101","Scaldicetus","genus","36900","Burdigalian","","20.44","15.97","13125"
"488676","occ","","","49102","Squalodontidae","family","42939","MN 4","","16.9","15.97","13125"
"489923","occ","13519","","49395","Eosqualodon latirostris","species","90634","Chattian","","28.1","23.03","13196"
"489924","occ","","","47623","Eoplatanista gresalensis","species","63693","Aquitanian","","23.03","20.44","13196"
"489925","occ","","","48656","Iniidae","family","93947","Serravallian","","13.82","11.62","13196"
"489926","occ","","","49396","Squalodon dalpiazi","species","53166","Burdigalian","","20.44","15.97","13196"
"489927","occ","","","49396","Neosqualodon assenzae","species","63423","Burdigalian","","20.44","15.97","13196"
"489928","occ","","","49396","Neosqualodon gastaldii","species","68324","Burdigalian","","20.44","15.97","13196"
"489929","occ","","","49397","Neosqualodon gastaldii","species","68324","Langhian","","15.97","13.82","13196"
"489930","occ","","","49398","Neosqualodon gastaldii","species","68324","Late Miocene","","11.608","5.333","13196"
"489931","occ","20146","","49399","Mesoplodon","genus","36763","Tortonian","","11.62","7.246","13196"
"489932","occ","","","49400","Mesoplodon","genus","36763","Tortonian","","11.62","7.246","13196"
"489934","occ","","","49402","Odontoceti","suborder","42937","Middle Miocene","","15.97","11.608","13196"
"489935","occ","","","49403","Eurhinodelphinidae","family","63595","Tortonian","","11.62","7.246","13196"
"489938","occ","18135","","49405","Titanocetus sammarinensis","species","67815","Burdigalian","Langhian","20.44","13.82","17793"
"490263","occ","","","49448","Acrodelphinidae","family","42962","Sarmatian","","12.7","11.608","13225"
"492079","occ","28526","","49669","Eurhinodelphinidae","family","63595","Burdigalian","Langhian","20.44","13.82","46366"
"492080","occ","","","49670","Odontoceti","suborder","42937","Burdigalian","Langhian","20.44","13.82","13326"
"492081","occ","","","49670","Mysticeti","suborder","42971","Burdigalian","Langhian","20.44","13.82","13326"
"492082","occ","","","49670","Cetotherium","genus","36692","Burdigalian","Langhian","20.44","13.82","13326"
"492083","occ","","","49671","Odontoceti","suborder","42937","Burdigalian","Langhian","20.44","13.82","13326"
"492084","occ","","","49672","Odontoceti","suborder","42937","Burdigalian","Langhian","20.44","13.82","13326"
"492085","occ","","","49672","Cetotherium","genus","36692","Burdigalian","Langhian","20.44","13.82","13326"
"492086","occ","","","49673","Odontoceti","suborder","42937","Burdigalian","Langhian","20.44","13.82","13326"
"492087","occ","","","49673","Delphinidae","family","42953","Burdigalian","Langhian","20.44","13.82","13326"
"492088","occ","","","49674","Odontoceti","suborder","42937","Burdigalian","Langhian","20.44","13.82","13326"
"492089","occ","","","49674","Mysticeti","suborder","42971","Burdigalian","Langhian","20.44","13.82","13326"
